"seqnames","start","end","width","strand","source","type","score","phase","gene_id","transcript_id","gene_type","gene_name","transcript_type","transcript_name","level","havana_gene","exon_id","tag"
"chr1",1020123,1056118,35996,"+","HAVANA","gene",NA,NA,"ENSG00000188157.14","ENSG00000188157.14","protein_coding","AGRN","protein_coding","AGRN","2","OTTHUMG00000040778.5",NA,"overlapping_locus"
"chr1",1070966,1074307,3342,"-","HAVANA","gene",NA,NA,"ENSG00000237330.2","ENSG00000237330.2","protein_coding","RNF223","protein_coding","RNF223","2","OTTHUMG00000185582.1",NA,NA
"chr1",1081818,1116361,34544,"-","HAVANA","gene",NA,NA,"ENSG00000131591.17","ENSG00000131591.17","protein_coding","C1orf159","protein_coding","C1orf159","2","OTTHUMG00000000745.9",NA,NA
"chr1",1179189,1197935,18747,"+","HAVANA","gene",NA,NA,"ENSG00000162571.13","ENSG00000162571.13","protein_coding","TTLL10","protein_coding","TTLL10","2","OTTHUMG00000000851.4",NA,NA
"chr1",1203508,1206691,3184,"-","HAVANA","gene",NA,NA,"ENSG00000186891.13","ENSG00000186891.13","protein_coding","TNFRSF18","protein_coding","TNFRSF18","2","OTTHUMG00000001414.4",NA,NA
"chr1",1211326,1214132,2807,"-","HAVANA","gene",NA,NA,"ENSG00000186827.10","ENSG00000186827.10","protein_coding","TNFRSF4","protein_coding","TNFRSF4","2","OTTHUMG00000001415.3",NA,NA
"chr1",1216908,1232031,15124,"-","HAVANA","gene",NA,NA,"ENSG00000078808.16","ENSG00000078808.16","protein_coding","SDF4","protein_coding","SDF4","2","OTTHUMG00000001812.6",NA,NA
"chr1",1232265,1235041,2777,"+","HAVANA","gene",NA,NA,"ENSG00000176022.4","ENSG00000176022.4","protein_coding","B3GALT6","protein_coding","B3GALT6","2","OTTHUMG00000001813.1",NA,"retrogene"
"chr1",1242453,1246722,4270,"-","HAVANA","gene",NA,NA,"ENSG00000184163.3","ENSG00000184163.3","protein_coding","C1QTNF12","protein_coding","C1QTNF12","2","OTTHUMG00000001412.6",NA,NA
"chr1",1253909,1273885,19977,"-","HAVANA","gene",NA,NA,"ENSG00000160087.20","ENSG00000160087.20","protein_coding","UBE2J2","protein_coding","UBE2J2","2","OTTHUMG00000001911.9",NA,NA
"chr1",1280436,1292029,11594,"+","HAVANA","gene",NA,NA,"ENSG00000162572.20","ENSG00000162572.20","protein_coding","SCNN1D","protein_coding","SCNN1D","2","OTTHUMG00000002081.7",NA,NA
"chr1",1292376,1308018,15643,"-","HAVANA","gene",NA,NA,"ENSG00000131584.18","ENSG00000131584.18","protein_coding","ACAP3","protein_coding","ACAP3","2","OTTHUMG00000002235.4",NA,"ncRNA_host"
"chr1",1308567,1311584,3018,"+","HAVANA","gene",NA,NA,"ENSG00000169972.11","ENSG00000169972.11","protein_coding","PUSL1","protein_coding","PUSL1","2","OTTHUMG00000003361.3",NA,NA
"chr1",1311678,1324691,13014,"-","HAVANA","gene",NA,NA,"ENSG00000127054.20","ENSG00000127054.20","protein_coding","INTS11","protein_coding","INTS11","1","OTTHUMG00000003330.13",NA,"overlapping_locus"
"chr1",1324756,1328897,4142,"+","HAVANA","gene",NA,NA,"ENSG00000224051.6","ENSG00000224051.6","protein_coding","CPTP","protein_coding","CPTP","2","OTTHUMG00000003171.3",NA,NA
"chr1",1331314,1335275,3962,"+","HAVANA","gene",NA,NA,"ENSG00000169962.4","ENSG00000169962.4","protein_coding","TAS1R3","protein_coding","TAS1R3","2","OTTHUMG00000003071.1",NA,NA
"chr1",1335307,1349350,14044,"-","HAVANA","gene",NA,NA,"ENSG00000107404.19","ENSG00000107404.19","protein_coding","DVL1","protein_coding","DVL1","2","OTTHUMG00000003069.4",NA,"ncRNA_host"
"chr1",1352689,1361777,9089,"-","HAVANA","gene",NA,NA,"ENSG00000162576.16","ENSG00000162576.16","protein_coding","MXRA8","protein_coding","MXRA8","2","OTTHUMG00000002973.5",NA,NA
"chr1",1373730,1375495,1766,"-","HAVANA","gene",NA,NA,"ENSG00000175756.13","ENSG00000175756.13","protein_coding","AURKAIP1","protein_coding","AURKAIP1","2","OTTHUMG00000001413.3",NA,NA
"chr1",1386482,1399328,12847,"-","HAVANA","gene",NA,NA,"ENSG00000221978.11","ENSG00000221978.11","protein_coding","CCNL2","protein_coding","CCNL2","2","OTTHUMG00000002917.6",NA,NA
"chr1",1402047,1407313,5267,"-","HAVANA","gene",NA,NA,"ENSG00000242485.5","ENSG00000242485.5","protein_coding","MRPL20","protein_coding","MRPL20","1","OTTHUMG00000002916.3",NA,"ncRNA_host"
"chr1",1418420,1421769,3350,"-","HAVANA","gene",NA,NA,"ENSG00000235098.8","ENSG00000235098.8","protein_coding","ANKRD65","protein_coding","ANKRD65","1","OTTHUMG00000002911.4",NA,NA
"chr1",1426128,1427787,1660,"+","HAVANA","gene",NA,NA,"ENSG00000205116.3","ENSG00000205116.3","protein_coding","TMEM88B","protein_coding","TMEM88B","2","OTTHUMG00000153395.3",NA,NA
"chr1",1434861,1442882,8022,"+","HAVANA","gene",NA,NA,"ENSG00000179403.11","ENSG00000179403.11","protein_coding","VWA1","protein_coding","VWA1","1","OTTHUMG00000002975.5",NA,NA
"chr1",1449689,1470158,20470,"+","HAVANA","gene",NA,NA,"ENSG00000215915.9","ENSG00000215915.9","protein_coding","ATAD3C","protein_coding","ATAD3C","2","OTTHUMG00000000531.7",NA,NA
"chr1",1471769,1496202,24434,"+","HAVANA","gene",NA,NA,"ENSG00000160072.19","ENSG00000160072.19","protein_coding","ATAD3B","protein_coding","ATAD3B","2","OTTHUMG00000000577.5",NA,NA
"chr1",1512151,1534687,22537,"+","HAVANA","gene",NA,NA,"ENSG00000197785.13","ENSG00000197785.13","protein_coding","ATAD3A","protein_coding","ATAD3A","2","OTTHUMG00000000575.6",NA,NA
"chr1",1535174,1540453,5280,"-","HAVANA","gene",NA,NA,"ENSG00000205090.8","ENSG00000205090.8","protein_coding","TMEM240","protein_coding","TMEM240","2","OTTHUMG00000042193.3",NA,NA
"chr1",1541673,1574869,33197,"-","HAVANA","gene",NA,NA,"ENSG00000160075.11","ENSG00000160075.11","protein_coding","SSU72","protein_coding","SSU72","2","OTTHUMG00000000576.5",NA,NA
"chr1",1598012,1600096,2085,"-","HAVANA","gene",NA,NA,"ENSG00000228594.3","ENSG00000228594.3","protein_coding","FNDC10","protein_coding","FNDC10","2","OTTHUMG00000154864.4",NA,NA
"chr1",1615879,1630610,14732,"+","HAVANA","gene",NA,NA,"ENSG00000197530.12","ENSG00000197530.12","protein_coding","MIB2","protein_coding","MIB2","1","OTTHUMG00000074647.10",NA,NA
"chr1",1632095,1635226,3132,"+","HAVANA","gene",NA,NA,"ENSG00000189409.13","ENSG00000189409.13","protein_coding","MMP23B","protein_coding","MMP23B","2","OTTHUMG00000074713.6",NA,NA
"chr1",1635264,1659012,23749,"-","HAVANA","gene",NA,NA,"ENSG00000248333.8","ENSG00000248333.8","protein_coding","CDK11B","protein_coding","CDK11B","2","OTTHUMG00000078638.6",NA,NA
"chr1",1659529,1692728,33200,"-","HAVANA","gene",NA,NA,"ENSG00000189339.11","ENSG00000189339.11","protein_coding","SLC35E2B","protein_coding","SLC35E2B","2","OTTHUMG00000078639.3",NA,NA
"chr1",1702730,1724324,21595,"-","HAVANA","gene",NA,NA,"ENSG00000008128.22","ENSG00000008128.22","protein_coding","CDK11A","protein_coding","CDK11A","2","OTTHUMG00000000703.15",NA,"overlapping_locus"
"chr1",1724838,1745992,21155,"-","HAVANA","gene",NA,NA,"ENSG00000215790.6","ENSG00000215790.6","protein_coding","SLC35E2","protein_coding","SLC35E2","2","OTTHUMG00000000823.5",NA,"overlapping_locus"
"chr1",1751232,1780457,29226,"-","HAVANA","gene",NA,NA,"ENSG00000008130.15","ENSG00000008130.15","protein_coding","NADK","protein_coding","NADK","2","OTTHUMG00000000942.6",NA,NA
"chr1",1785285,1891117,105833,"-","HAVANA","gene",NA,NA,"ENSG00000078369.17","ENSG00000078369.17","protein_coding","GNB1","protein_coding","GNB1","1","OTTHUMG00000000940.8",NA,NA
"chr1",1914827,1917294,2468,"+","HAVANA","gene",NA,NA,"ENSG00000169885.9","ENSG00000169885.9","protein_coding","CALML6","protein_coding","CALML6","1","OTTHUMG00000000943.2",NA,NA
"chr1",1917590,1919273,1684,"-","HAVANA","gene",NA,NA,"ENSG00000178821.12","ENSG00000178821.12","protein_coding","TMEM52","protein_coding","TMEM52","2","OTTHUMG00000000944.7",NA,NA
"chr1",1921951,2003837,81887,"-","HAVANA","gene",NA,NA,"ENSG00000142609.17","ENSG00000142609.17","protein_coding","CFAP74","protein_coding","CFAP74","1","OTTHUMG00000000945.16",NA,NA
"chr1",2019298,2030758,11461,"+","HAVANA","gene",NA,NA,"ENSG00000187730.8","ENSG00000187730.8","protein_coding","GABRD","protein_coding","GABRD","2","OTTHUMG00000041064.5",NA,NA
"chr1",2050470,2175313,124844,"+","HAVANA","gene",NA,NA,"ENSG00000067606.16","ENSG00000067606.16","protein_coding","PRKCZ","protein_coding","PRKCZ","1","OTTHUMG00000001238.13",NA,NA
"chr1",2184461,2212720,28260,"-","HAVANA","gene",NA,NA,"ENSG00000162585.16","ENSG00000162585.16","protein_coding","FAAP20","protein_coding","FAAP20","2","OTTHUMG00000001404.7",NA,NA
"chr1",2228695,2310119,81425,"+","HAVANA","gene",NA,NA,"ENSG00000157933.9","ENSG00000157933.9","protein_coding","SKI","protein_coding","SKI","2","OTTHUMG00000001407.3",NA,NA
"chr1",2321253,2391707,70455,"-","HAVANA","gene",NA,NA,"ENSG00000116151.13","ENSG00000116151.13","protein_coding","MORN1","protein_coding","MORN1","1","OTTHUMG00000001402.6",NA,"overlapping_locus"
"chr1",2391775,2403963,12189,"+","HAVANA","gene",NA,NA,"ENSG00000157916.19","ENSG00000157916.19","protein_coding","RER1","protein_coding","RER1","2","OTTHUMG00000001403.5",NA,NA
"chr1",2405445,2413797,8353,"-","HAVANA","gene",NA,NA,"ENSG00000157911.9","ENSG00000157911.9","protein_coding","PEX10","protein_coding","PEX10","1","OTTHUMG00000001637.6",NA,NA
"chr1",2425980,2505526,79547,"+","HAVANA","gene",NA,NA,"ENSG00000149527.17","ENSG00000149527.17","protein_coding","PLCH2","protein_coding","PLCH2","2","OTTHUMG00000000719.4",NA,NA
"chr1",2508533,2526628,18096,"-","HAVANA","gene",NA,NA,"ENSG00000157881.13","ENSG00000157881.13","protein_coding","PANK4","protein_coding","PANK4","2","OTTHUMG00000000791.4",NA,NA
"chr1",2528745,2530245,1501,"-","HAVANA","gene",NA,NA,"ENSG00000197921.5","ENSG00000197921.5","protein_coding","HES5","protein_coding","HES5","2","OTTHUMG00000000793.1",NA,NA
"chr1",2556697,2565382,8686,"+","HAVANA","gene",NA,NA,"ENSG00000157873.17","ENSG00000157873.17","protein_coding","TNFRSF14","protein_coding","TNFRSF14","2","OTTHUMG00000000792.18",NA,NA
"chr1",2586491,2591469,4979,"+","HAVANA","gene",NA,NA,"ENSG00000157870.14","ENSG00000157870.14","protein_coding","FAM213B","protein_coding","FAM213B","2","OTTHUMG00000000847.5",NA,NA
"chr1",2591557,2632990,41434,"-","HAVANA","gene",NA,NA,"ENSG00000142606.15","ENSG00000142606.15","protein_coding","MMEL1","protein_coding","MMEL1","2","OTTHUMG00000000846.4",NA,NA
"chr1",2635976,2801717,165742,"-","HAVANA","gene",NA,NA,"ENSG00000215912.12","ENSG00000215912.12","protein_coding","TTC34","protein_coding","TTC34","2","OTTHUMG00000000539.10",NA,NA
"chr1",3021483,3022903,1421,"+","HAVANA","gene",NA,NA,"ENSG00000169717.6","ENSG00000169717.6","protein_coding","ACTRT2","protein_coding","ACTRT2","2","OTTHUMG00000000562.1",NA,"retrogene"
"chr1",3069168,3438621,369454,"+","HAVANA","gene",NA,NA,"ENSG00000142611.16","ENSG00000142611.16","protein_coding","PRDM16","protein_coding","PRDM16","1","OTTHUMG00000000581.9",NA,"overlapping_locus"
"chr1",3454426,3481113,26688,"+","HAVANA","gene",NA,NA,"ENSG00000130762.14","ENSG00000130762.14","protein_coding","ARHGEF16","protein_coding","ARHGEF16","2","OTTHUMG00000000625.4",NA,NA
"chr1",3489920,3611495,121576,"-","HAVANA","gene",NA,NA,"ENSG00000162591.15","ENSG00000162591.15","protein_coding","MEGF6","protein_coding","MEGF6","2","OTTHUMG00000000611.7",NA,"ncRNA_host"
"chr1",3625002,3630127,5126,"+","HAVANA","gene",NA,NA,"ENSG00000158109.14","ENSG00000158109.14","protein_coding","TPRG1L","protein_coding","TPRG1L","2","OTTHUMG00000000609.1",NA,NA
"chr1",3630767,3652761,21995,"-","HAVANA","gene",NA,NA,"ENSG00000116213.15","ENSG00000116213.15","protein_coding","WRAP73","protein_coding","WRAP73","1","OTTHUMG00000000612.5",NA,NA
"chr1",3652520,3735600,83081,"+","HAVANA","gene",NA,NA,"ENSG00000078900.14","ENSG00000078900.14","protein_coding","TP73","protein_coding","TP73","1","OTTHUMG00000000610.6",NA,NA
"chr1",3752398,3771645,19248,"+","HAVANA","gene",NA,NA,"ENSG00000162592.9","ENSG00000162592.9","protein_coding","CCDC27","protein_coding","CCDC27","2","OTTHUMG00000003504.4",NA,NA
"chr1",3772788,3775982,3195,"+","HAVANA","gene",NA,NA,"ENSG00000235169.7","ENSG00000235169.7","protein_coding","SMIM1","protein_coding","SMIM1","1","OTTHUMG00000003505.4",NA,NA
"chr1",3778558,3796504,17947,"-","HAVANA","gene",NA,NA,"ENSG00000130764.9","ENSG00000130764.9","protein_coding","LRRC47","protein_coding","LRRC47","2","OTTHUMG00000003506.3",NA,NA
"chr1",3812081,3857214,45134,"-","HAVANA","gene",NA,NA,"ENSG00000116198.12","ENSG00000116198.12","protein_coding","CEP104","protein_coding","CEP104","2","OTTHUMG00000003507.5",NA,NA
"chr1",3857267,3885429,28163,"+","HAVANA","gene",NA,NA,"ENSG00000169598.15","ENSG00000169598.15","protein_coding","DFFB","protein_coding","DFFB","2","OTTHUMG00000003525.6",NA,NA
"chr1",3889125,3900285,11161,"-","HAVANA","gene",NA,NA,"ENSG00000198912.10","ENSG00000198912.10","protein_coding","C1orf174","protein_coding","C1orf174","2","OTTHUMG00000003739.1",NA,NA
"chr1",4654732,4792534,137803,"+","HAVANA","gene",NA,NA,"ENSG00000196581.10","ENSG00000196581.10","protein_coding","AJAP1","protein_coding","AJAP1","2","OTTHUMG00000000645.6",NA,NA
"chr1",5862811,5992362,129552,"-","HAVANA","gene",NA,NA,"ENSG00000131697.17","ENSG00000131697.17","protein_coding","NPHP4","protein_coding","NPHP4","2","OTTHUMG00000000701.6",NA,NA
"chr1",5991466,6101193,109728,"+","HAVANA","gene",NA,NA,"ENSG00000069424.14","ENSG00000069424.14","protein_coding","KCNAB2","protein_coding","KCNAB2","2","OTTHUMG00000000795.9",NA,NA
"chr1",6101793,6180123,78331,"-","HAVANA","gene",NA,NA,"ENSG00000116254.17","ENSG00000116254.17","protein_coding","CHD5","protein_coding","CHD5","2","OTTHUMG00000000952.6",NA,NA
"chr1",6181269,6209389,28121,"-","HAVANA","gene",NA,NA,"ENSG00000116251.9","ENSG00000116251.9","protein_coding","RPL22","protein_coding","RPL22","1","OTTHUMG00000000953.5",NA,"overlapping_locus"
"chr1",6206176,6221192,15017,"+","HAVANA","gene",NA,NA,"ENSG00000158286.12","ENSG00000158286.12","protein_coding","RNF207","protein_coding","RNF207","2","OTTHUMG00000001089.4",NA,NA
"chr1",6221300,6235972,14673,"-","HAVANA","gene",NA,NA,"ENSG00000116237.15","ENSG00000116237.15","protein_coding","ICMT","protein_coding","ICMT","2","OTTHUMG00000001254.2",NA,NA
"chr1",6244192,6245578,1387,"+","HAVANA","gene",NA,NA,"ENSG00000173673.7","ENSG00000173673.7","protein_coding","HES3","protein_coding","HES3","2","OTTHUMG00000001271.3",NA,NA
"chr1",6247346,6260975,13630,"-","HAVANA","gene",NA,NA,"ENSG00000158292.6","ENSG00000158292.6","protein_coding","GPR153","protein_coding","GPR153","2","OTTHUMG00000001272.2",NA,NA
"chr1",6264269,6393554,129286,"-","HAVANA","gene",NA,NA,"ENSG00000097021.19","ENSG00000097021.19","protein_coding","ACOT7","protein_coding","ACOT7","2","OTTHUMG00000001295.8",NA,NA
"chr1",6412418,6424670,12253,"-","HAVANA","gene",NA,NA,"ENSG00000069812.11","ENSG00000069812.11","protein_coding","HES2","protein_coding","HES2","2","OTTHUMG00000000752.2",NA,NA
"chr1",6424788,6460980,36193,"+","HAVANA","gene",NA,NA,"ENSG00000187017.15","ENSG00000187017.15","protein_coding","ESPN","protein_coding","ESPN","2","OTTHUMG00000000753.8",NA,NA
"chr1",6461151,6466091,4941,"-","HAVANA","gene",NA,NA,"ENSG00000215788.9","ENSG00000215788.9","protein_coding","TNFRSF25","protein_coding","TNFRSF25","2","OTTHUMG00000000831.7",NA,"overlapping_locus"
"chr1",6466196,6520061,53866,"-","HAVANA","gene",NA,NA,"ENSG00000171680.21","ENSG00000171680.21","protein_coding","PLEKHG5","protein_coding","PLEKHG5","2","OTTHUMG00000000905.4",NA,"overlapping_locus"
"chr1",6521347,6554535,33189,"-","HAVANA","gene",NA,NA,"ENSG00000162408.10","ENSG00000162408.10","protein_coding","NOL9","protein_coding","NOL9","2","OTTHUMG00000000904.1",NA,NA
"chr1",6555181,6579757,24577,"+","HAVANA","gene",NA,NA,"ENSG00000173662.20","ENSG00000173662.20","protein_coding","TAS1R1","protein_coding","TAS1R1","1","OTTHUMG00000001441.3",NA,NA
"chr1",6580001,6589280,9280,"+","HAVANA","gene",NA,NA,"ENSG00000204859.12","ENSG00000204859.12","protein_coding","ZBTB48","protein_coding","ZBTB48","2","OTTHUMG00000001438.4",NA,NA
"chr1",6590724,6614607,23884,"-","HAVANA","gene",NA,NA,"ENSG00000162413.16","ENSG00000162413.16","protein_coding","KLHL21","protein_coding","KLHL21","1","OTTHUMG00000001437.3",NA,NA
"chr1",6613685,6624033,10349,"+","HAVANA","gene",NA,NA,"ENSG00000116273.5","ENSG00000116273.5","protein_coding","PHF13","protein_coding","PHF13","2","OTTHUMG00000001439.1",NA,NA
"chr1",6624866,6634167,9302,"+","HAVANA","gene",NA,NA,"ENSG00000041988.15","ENSG00000041988.15","protein_coding","THAP3","protein_coding","THAP3","2","OTTHUMG00000001440.3",NA,NA
"chr1",6635587,6701924,66338,"-","HAVANA","gene",NA,NA,"ENSG00000007923.15","ENSG00000007923.15","protein_coding","DNAJC11","protein_coding","DNAJC11","2","OTTHUMG00000001443.4",NA,NA
"chr1",6785324,7769706,984383,"+","HAVANA","gene",NA,NA,"ENSG00000171735.18","ENSG00000171735.18","protein_coding","CAMTA1","protein_coding","CAMTA1","1","OTTHUMG00000001212.6",NA,"overlapping_locus"
"chr1",7771269,7781432,10164,"+","HAVANA","gene",NA,NA,"ENSG00000049245.12","ENSG00000049245.12","protein_coding","VAMP3","protein_coding","VAMP3","1","OTTHUMG00000001225.3",NA,"overlapping_locus"
"chr1",7784320,7845177,60858,"+","HAVANA","gene",NA,NA,"ENSG00000049246.14","ENSG00000049246.14","protein_coding","PER3","protein_coding","PER3","1","OTTHUMG00000001216.3",NA,NA
"chr1",7846692,7853512,6821,"-","HAVANA","gene",NA,NA,"ENSG00000049247.13","ENSG00000049247.13","protein_coding","UTS2","protein_coding","UTS2","2","OTTHUMG00000001218.3",NA,NA
"chr1",7915894,7943165,27272,"-","HAVANA","gene",NA,NA,"ENSG00000049249.8","ENSG00000049249.8","protein_coding","TNFRSF9","protein_coding","TNFRSF9","1","OTTHUMG00000001223.3",NA,NA
"chr1",7954291,7985505,31215,"+","HAVANA","gene",NA,NA,"ENSG00000116288.12","ENSG00000116288.12","protein_coding","PARK7","protein_coding","PARK7","1","OTTHUMG00000001210.3",NA,NA
"chr1",8004404,8026308,21905,"-","HAVANA","gene",NA,NA,"ENSG00000116285.12","ENSG00000116285.12","protein_coding","ERRFI1","protein_coding","ERRFI1","1","OTTHUMG00000001221.3",NA,NA
"chr1",8317826,8344167,26342,"+","HAVANA","gene",NA,NA,"ENSG00000162426.14","ENSG00000162426.14","protein_coding","SLC45A1","protein_coding","SLC45A1","2","OTTHUMG00000000503.6",NA,"ncRNA_host"
"chr1",8352397,8817643,465247,"-","HAVANA","gene",NA,NA,"ENSG00000142599.17","ENSG00000142599.17","protein_coding","RERE","protein_coding","RERE","1","OTTHUMG00000001765.7",NA,"overlapping_locus"
"chr1",8861002,8879249,18248,"-","HAVANA","gene",NA,NA,"ENSG00000074800.13","ENSG00000074800.13","protein_coding","ENO1","protein_coding","ENO1","2","OTTHUMG00000001773.5",NA,"overlapping_locus"
"chr1",8945867,8975092,29226,"+","HAVANA","gene",NA,NA,"ENSG00000131686.14","ENSG00000131686.14","protein_coding","CA6","protein_coding","CA6","1","OTTHUMG00000001763.7",NA,NA
"chr1",9003300,9026345,23046,"-","HAVANA","gene",NA,NA,"ENSG00000197241.3","ENSG00000197241.3","protein_coding","SLC2A7","protein_coding","SLC2A7","2","OTTHUMG00000057499.4",NA,NA
"chr1",9035107,9088478,53372,"-","HAVANA","gene",NA,NA,"ENSG00000142583.17","ENSG00000142583.17","protein_coding","SLC2A5","protein_coding","SLC2A5","2","OTTHUMG00000001771.3",NA,NA
"chr1",9100305,9129170,28866,"-","HAVANA","gene",NA,NA,"ENSG00000180758.11","ENSG00000180758.11","protein_coding","GPR157","protein_coding","GPR157","2","OTTHUMG00000001758.5",NA,NA
"chr1",9234775,9271337,36563,"+","HAVANA","gene",NA,NA,"ENSG00000049239.12","ENSG00000049239.12","protein_coding","H6PD","protein_coding","H6PD","1","OTTHUMG00000001768.2",NA,NA
"chr1",9292880,9369532,76653,"+","HAVANA","gene",NA,NA,"ENSG00000171621.13","ENSG00000171621.13","protein_coding","SPSB1","protein_coding","SPSB1","2","OTTHUMG00000001279.4",NA,NA
"chr1",9539482,9585179,45698,"+","HAVANA","gene",NA,NA,"ENSG00000171612.6","ENSG00000171612.6","protein_coding","SLC25A33","protein_coding","SLC25A33","2","OTTHUMG00000001322.2",NA,"overlapping_locus"
"chr1",9588922,9614873,25952,"+","HAVANA","gene",NA,NA,"ENSG00000188807.12","ENSG00000188807.12","protein_coding","TMEM201","protein_coding","TMEM201","2","OTTHUMG00000057457.2",NA,NA
"chr1",9651732,9729025,77294,"+","HAVANA","gene",NA,NA,"ENSG00000171608.15","ENSG00000171608.15","protein_coding","PIK3CD","protein_coding","PIK3CD","2","OTTHUMG00000001450.2",NA,NA
"chr1",9729115,9824526,95412,"-","HAVANA","gene",NA,NA,"ENSG00000171603.16","ENSG00000171603.16","protein_coding","CLSTN1","protein_coding","CLSTN1","2","OTTHUMG00000001451.1",NA,NA
"chr1",9848276,9910336,62061,"-","HAVANA","gene",NA,NA,"ENSG00000178585.14","ENSG00000178585.14","protein_coding","CTNNBIP1","protein_coding","CTNNBIP1","2","OTTHUMG00000001796.1",NA,NA
"chr1",9922113,9943407,21295,"-","HAVANA","gene",NA,NA,"ENSG00000162441.11","ENSG00000162441.11","protein_coding","LZIC","protein_coding","LZIC","1","OTTHUMG00000001804.3",NA,NA
"chr1",9943428,9985501,42074,"+","HAVANA","gene",NA,NA,"ENSG00000173614.13","ENSG00000173614.13","protein_coding","NMNAT1","protein_coding","NMNAT1","1","OTTHUMG00000001799.6",NA,"overlapping_locus"
"chr1",9997206,10016020,18815,"+","HAVANA","gene",NA,NA,"ENSG00000162444.11","ENSG00000162444.11","protein_coding","RBP7","protein_coding","RBP7","2","OTTHUMG00000001798.2",NA,NA
"chr1",10032832,10181239,148408,"+","HAVANA","gene",NA,NA,"ENSG00000130939.18","ENSG00000130939.18","protein_coding","UBE4B","protein_coding","UBE4B","2","OTTHUMG00000001797.2",NA,"overlapping_locus"
"chr1",10210805,10381603,170799,"+","HAVANA","gene",NA,NA,"ENSG00000054523.17","ENSG00000054523.17","protein_coding","KIF1B","protein_coding","KIF1B","1","OTTHUMG00000001817.2",NA,"ncRNA_host"
"chr1",10398592,10420144,21553,"+","HAVANA","gene",NA,NA,"ENSG00000142657.20","ENSG00000142657.20","protein_coding","PGD","protein_coding","PGD","2","OTTHUMG00000001905.4",NA,NA
"chr1",10430783,10442809,12027,"+","HAVANA","gene",NA,NA,"ENSG00000175279.21","ENSG00000175279.21","protein_coding","CENPS","protein_coding","CENPS","1","OTTHUMG00000059085.10",NA,"overlapping_locus"
"chr1",10449719,10451902,2184,"+","HAVANA","gene",NA,NA,"ENSG00000241563.3","ENSG00000241563.3","protein_coding","CORT","protein_coding","CORT","2","OTTHUMG00000001906.4",NA,"overlapping_locus"
"chr1",10456522,10472526,16005,"-","HAVANA","gene",NA,NA,"ENSG00000160049.11","ENSG00000160049.11","protein_coding","DFFA","protein_coding","DFFA","2","OTTHUMG00000001909.3",NA,NA
"chr1",10474887,10630758,155872,"+","HAVANA","gene",NA,NA,"ENSG00000142655.12","ENSG00000142655.12","protein_coding","PEX14","protein_coding","PEX14","2","OTTHUMG00000001908.2",NA,"ncRNA_host"
"chr1",10636604,10796650,160047,"-","HAVANA","gene",NA,NA,"ENSG00000130940.14","ENSG00000130940.14","protein_coding","CASZ1","protein_coding","CASZ1","1","OTTHUMG00000002035.5",NA,NA
"chr1",10946473,10982037,35565,"-","HAVANA","gene",NA,NA,"ENSG00000175262.14","ENSG00000175262.14","protein_coding","C1orf127","protein_coding","C1orf127","1","OTTHUMG00000002032.5",NA,NA
